gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
SNX32	374.5022249739724	4.233353849937389	0.11104015352751442	0	0
ENSG00000269968	1162.2085376939988	6.772199939531988	0.13586354939185794	0	0
ENSG00000265749	398.9169251460143	5.69228819825524	0.15321018204021675	3.854402488581722e-304	8.508593493544151e-300
ENSG00000264577	390.38863231897795	5.113713429869384	0.1441777615796488	3.8006315981052986e-277	8.389894252817447e-273
TRABD2A	800.1514532800094	2.5360642590030222	0.07264047206380678	3.1479835446442644e-268	6.949173674802214e-264
ENSG00000258017	905.0451449335725	3.453304358062531	0.1006080145799681	7.200893986580674e-259	1.5895973475376838e-254
LSR	4531.602372627942	-1.33420728319448	0.04083199645572587	8.665655719278771e-236	1.9129435000307886e-231
G6PC3	2559.957944436803	-1.3717006214495417	0.043088739720563526	4.730269490543394e-224	1.0442069900374541e-219
ENSG00000265496	454.0710250592812	2.918778685821924	0.09196243540907602	9.163037450594132e-222	2.0227405172186546e-217
ENSG00000272540	403.6222686195359	4.713431354136306	0.1500406181278683	5.95990911795609e-218	1.3156499377888068e-213
CTXN1	1106.3175993724226	-2.881784865859143	0.09378330502391968	4.57582783296697e-208	1.0101139941274586e-203
BEST1	439.11991713103373	4.353389012686403	0.14335437338137852	1.1276571700071634e-203	2.489303202790813e-199
ENSG00000265401	254.38045979208124	5.605725126398527	0.18903214031973392	3.343594387105243e-195	7.380984609534823e-191
DIPK1A	799.7834756446695	2.6814860518498715	0.09105135868514197	1.4501750766558073e-191	3.201261481717695e-187
ATP5F1D	1164.1859362891873	-1.7929563528114187	0.06312011037375274	6.916933923109241e-180	1.5269131635263648e-175
MFSD10	1358.038448479414	-1.7382930583395644	0.06124426050020382	1.5113773880949469e-179	3.3363655842195953e-175
ENSG00000258232	179.85074193095343	4.152131180227874	0.14679824203530364	5.407594474174547e-177	1.1937264801740314e-172
CHPF	1582.4749756838007	-1.873209458488756	0.06676280732745532	1.1664799817432829e-175	2.575004559698297e-171
ENSG00000279605	184.6581137992228	5.744098417464681	0.20630169047375668	1.1982337207077127e-172	2.645100938462276e-168
ENSG00000262560	210.2417325858207	4.891566410838333	0.17776007554222742	3.781175240735418e-168	8.346944343923435e-164
APRT	2884.499134367155	-1.3364796681596296	0.04910630287213245	1.0311134210291976e-164	2.2761828769219537e-160
SLC25A22	1308.2973487457552	-1.4929242710543575	0.05536467795795495	4.922953645465568e-162	1.0867420172365241e-157
VWA1	1030.366327904693	-1.7340565395119574	0.06447810817629564	1.2161300507632428e-161	2.6846070870598584e-157
CYP2S1	7854.9606571878385	-1.1763665847427924	0.0441545787428545	8.337502582955645e-158	1.8405036951874585e-153
HSPBP1	1510.132492144313	-1.3281928096505249	0.0500494205942213	9.010164954041601e-157	1.9889939136046836e-152
RPL30-AS1	153.6451925764472	3.9623278629543206	0.1496305625904426	2.061604610158513e-155	4.550992176924918e-151
NOC4L	1005.631399404012	-1.558947632686848	0.05948351131203357	2.0645241669274106e-153	4.557437098492259e-149
MVP-DT	246.10039948943935	2.9329128448662485	0.11209665324774558	1.372804552688837e-151	3.0304660500606075e-147
SLC29A1	6946.859310540149	-1.0197971962404286	0.039308013372260885	1.1079788657056175e-149	2.4458633460451505e-145
COX6A1	2133.813174814523	-1.4399904809373893	0.05580569477085664	1.3287328716228664e-148	2.9331778141074774e-144
GPS2	331.27673363360384	2.9808856396095877	0.11553649576747935	1.8669374646926148e-147	4.121264453308947e-143
ENSG00000273149	1081.238707159574	1.9642463721168004	0.07674228916607284	6.669258657086222e-147	1.4722388485517835e-142
NCLN	3732.1406230104726	-1.3034064734153035	0.05079597318055889	9.004081790080703e-147	1.987651055160315e-142
SIVA1	1256.0093285880903	-1.470493095423029	0.0589246501158512	2.68111866873433e-139	5.918569461231034e-135
ATP13A2	2460.338316302386	-1.1665587492839107	0.04678249135382765	1.1670743969285334e-138	2.5763167312197375e-134
SRM	4139.147278058016	-1.3027930064986373	0.05266864463972976	1.2074651212956988e-136	2.665479255260255e-132
ENSG00000244380	171.46395841568958	3.4402655665326307	0.13884932790055116	3.3549018020469076e-136	7.405945728018549e-132
RPS28	5950.3267955590845	-1.2172699952113553	0.04933638222791391	7.175477548635322e-136	1.5839866688612473e-131
ATP13A1	1902.1198203860283	-1.3854364304522118	0.056484219852428706	1.529129993648756e-134	3.3755544609796286e-130
EIF6	2421.4742568118163	-1.1631562181647825	0.04799903855288673	3.8614458388682794e-131	8.524141689301726e-127
ATP6V0B	1625.5789197475435	-1.3556973611103136	0.05661190571132045	2.2595250053735052e-128	4.987901449362013e-124
MED16	1892.0502757979075	-1.3487798337445145	0.05643421003276026	7.170631617602426e-128	1.5829169295857354e-123
LDHB	1900.3329062808277	-1.6103015394043787	0.06798619183926205	3.8463372817556464e-126	8.490789549475589e-122
PPDPF	1697.6935117879284	-2.1470958132968647	0.0907441692187894	6.673292213508114e-126	1.4731292561319162e-121
ENSG00000225721	125.5627408624161	4.303239348643242	0.1825279915821809	5.645211236479884e-124	1.2461803804529343e-119
ARHGAP1	2519.0797099735046	-1.1140455069101618	0.047497151221009906	4.994024109114476e-123	1.1024308220870206e-118
RPUSD1	703.9073453913685	-1.923349592732981	0.08308926377800972	5.6592062884667e-121	1.249269788179024e-116
PIN4	1053.4472919532386	1.4952705828284003	0.0646389210210418	2.7935279316943694e-120	6.16671290921532e-116
IFRD2	1950.931552892265	-1.2219250881446564	0.05321622142247234	3.8236912581413473e-118	8.440798452347025e-114
MAP1S	2029.668398922921	-1.3281496171992717	0.0579105990750464	5.279795541152305e-118	1.1655148657093715e-113
SLC12A9	939.9464598179685	-1.5969032723613152	0.06984094085955544	8.393864845775039e-118	1.85294566470484e-113
NKIRAS1	723.5905906437976	1.8054133691866554	0.07915884036964431	1.5307553809552859e-117	3.3791425034587935e-113
FARSA	3055.204420664292	-1.1841336854633717	0.05203374502516079	4.499898528251197e-116	9.933526001114518e-112
U2AF2	9519.959973033958	-1.2159074259659204	0.05379423127165066	1.3899395430402332e-114	3.068291541261315e-110
CDIPT	1617.6876446269098	-1.128659140193051	0.049959540182757965	2.16769098165841e-114	4.7851778420109405e-110
RPL22	2868.6796083201557	-1.2248339750831279	0.0543411722748231	5.685708414982635e-114	1.2551201326074166e-109
ENSG00000280195	147.5440821931055	5.4738666274038374	0.24562792650796714	7.159183458422892e-112	1.5803897484468535e-107
CAPN15	1960.1370419645054	-1.3697308053818176	0.06146598801401624	1.1346961112055525e-111	2.5048416654862573e-107
FADS2	21573.897709264485	-1.3533228706183582	0.0608082449563707	2.288494539974764e-111	5.0518516969942915e-107
SLC52A2	1056.4970893470888	-1.6216363058978533	0.07306943558141836	2.899779661282483e-111	6.401263602281081e-107
KIF26A	2916.093900202734	-1.9974809367571615	0.09017363211670579	4.232734469271172e-111	9.343761340916111e-107
TCF19	1432.9492011842456	1.269373931560011	0.057432997665729534	9.075090513289998e-110	2.003326230808767e-105
DYNC2I2	1060.267565023926	-1.5304363571497577	0.06976008753050396	1.2177935465674233e-108	2.688279254047587e-104
H2AX	4382.585475120712	-1.5650861847407698	0.0714769052124317	2.6229651333563136e-108	5.790195531884062e-104
ENSG00000244716	164.71653717233778	2.667137600933762	0.12139945337888541	5.833250885725049e-108	1.2876901330238046e-103
CLDN6	19300.442765171432	-1.1387434894040136	0.05202631220797173	1.3692651032964512e-107	3.0226527155269163e-103
ENSG00000247853	201.56744369244583	2.404762408934038	0.11002347536567128	2.056641641836669e-107	4.540036424354447e-103
PGAP6	2262.9728636162067	-1.3572595775463445	0.06221774018502897	3.811008583530923e-107	8.412801448144512e-103
ABHD17A	811.0961487045764	-1.598095774457711	0.073709943302907	2.498064578216551e-106	5.5144775564130365e-102
NUBP2	1187.4695297523456	-1.2487062247022693	0.05743303607312148	2.598184647788515e-106	5.735492609993147e-102
FAAP20	1047.7270922900232	-1.2858411698834236	0.059351082621645644	1.2510205300711776e-105	2.7616278201321246e-101
ENSG00000287299	93.0899853871695	4.703451524452976	0.21702635656880298	1.7449051406434574e-105	3.851878097970432e-101
IQCG	595.0564869842295	1.5127433007720457	0.07003540974990434	2.143599910267903e-105	4.731996801916396e-101
WDR18	1544.8580080683219	-1.4077451484473027	0.06511396679831498	2.1897987114978466e-105	4.8339806556314966e-101
FBRSL1	2229.0961967492485	-1.4758739421329967	0.06865418748438688	2.3134820322270414e-104	5.107011586141194e-100
SCRIB	2602.6277596623722	-1.13857508306534	0.05293083931890051	4.9972611131798345e-104	1.1031453907344484e-99
ALG3	1349.3808616158562	-1.2920911360355147	0.060337472128102185	2.743036752501998e-103	6.055253631148161e-99
POLR2L	1572.2874031232093	-1.3400169973373461	0.06270710839052743	6.172182722296006e-103	1.3625093359468433e-98
TIMM13	3415.1778298024697	-1.1497025359664859	0.05378314827018034	8.69698198419107e-103	1.9198587730101787e-98
MIF-AS1	98.77594138838688	4.632620979177039	0.21660313664082556	9.010238205025061e-103	1.989010083759282e-98
C19orf48	2584.779203792212	-1.1887714675228336	0.05590574764850085	8.91640792865411e-102	1.968297050250395e-97
YIF1A	1130.94797994752	-1.398067035195191	0.06584029627041743	8.94738112494634e-102	1.9751343833319046e-97
H2AZ1-DT	121.24758373610351	3.961462088723479	0.18583180800401244	9.92899244210772e-102	2.1918250815952791e-97
GPAA1	685.226139443054	-1.5588338194690636	0.07355376298720592	1.0607133398922513e-101	2.3415246978121446e-97
LSS	5418.895649322288	-2.1152840474840335	0.10054493221995035	1.8519534895418576e-100	4.088187328163651e-96
ENSG00000254662	320.14621183947725	2.4879725255327765	0.11775071382288294	2.0410092490227724e-100	4.50552791721777e-96
ENSG00000289809	457.3061364127088	5.686308929904106	0.2717220093294435	3.0376134145987627e-99	6.705531612726769e-95
ADRM1	3326.2616942200784	-1.141171224179477	0.05439297901636169	3.995843102202244e-99	8.820823648111453e-95
RAB13	435.4884703534737	-2.046388738582778	0.09809027511234317	5.701555800264955e-99	1.2586184429084887e-94
ENSG00000273175	670.537557004834	2.1884521026875516	0.1048217747398814	7.660878563877444e-99	1.6911389429759456e-94
NDUFS7	771.2369209397472	-1.3784297880979235	0.06635927247595312	1.6123534932524228e-97	3.5592703363547233e-93
TELO2	1695.184162141216	-1.7267180690081272	0.08347585220927088	2.2871196359496208e-97	5.048816596358788e-93
FBXL19	3554.010021309424	-1.2231503989160828	0.058867438331398556	2.293859608084293e-97	5.063695084846077e-93
RHOT2	1920.328691010502	-1.1683244417809218	0.05647818935860248	1.744514700460836e-96	3.851016201267295e-92
TMEM259	1737.1866755581586	-1.2613713973639968	0.06105090029177684	2.366650163280834e-96	5.224380235442441e-92
PRXL2B	1331.0566056046362	-1.2368389182767006	0.05997246367622463	5.482208143684312e-96	1.2101974477183119e-91
TMEM160	436.51745829835266	-1.9422716339255806	0.09477641769404345	9.478106676636699e-96	2.0922920488675513e-91
RAVER1	1484.3695341451098	-1.1215538041167283	0.054443327667843884	1.1347606262330812e-95	2.5049840824095267e-91
HMGA1P4	132.7861037604705	3.74891344842028	0.18275711718555093	2.6378082994657615e-94	5.822961821070668e-90
UQCRHL	251.64204517246978	2.3674360308458087	0.11593613376206438	2.713905598629732e-94	5.990946608975133e-90
CNPPD1	1049.819224728808	-1.2760710371956616	0.06269052252015975	1.2218567558743115e-93	2.6972487885925427e-89
SLC25A1	4569.188211466653	-1.2544462846533286	0.06163893561196324	1.3937390805549535e-93	3.0766790203250597e-89
ENSG00000258959	78.96652867686984	4.6624653204701945	0.22924220332904352	2.8916621573515143e-93	6.383344212353468e-89
MZT2B	881.5898974511846	-1.26609991188496	0.06253690172257928	1.1643677161100807e-92	2.570341733313003e-88
SERINC2	902.3054515832918	-1.2489925257952115	0.06175921036051007	1.906252540988691e-92	4.208052484232535e-88
TM7SF2	1058.16883117891	-1.7893450596424283	0.08972708481304954	7.264215351345914e-91	1.6035755388096106e-86
ENSG00000267062	93.26853906917903	5.580194523648793	0.27935371203580783	1.0587647998441768e-90	2.3372232956560204e-86
IGSF8	1767.793725349543	-1.0248846684353778	0.0511810611786305	1.713331908238348e-90	3.782180187436154e-86
PCNX3	1540.1184437420648	-1.3435996732869737	0.06733092202855978	3.1915703917834932e-90	7.045391639862061e-86
PCBP1-AS1	605.2156810852424	1.4966527830278087	0.07526444403171544	6.9461440128380765e-90	1.5333612908340054e-85
ENSG00000259952	91.81925351758845	4.560206470633239	0.2290318919116906	1.8805443581645106e-89	4.151301670648157e-85
PRPF19	6212.200129167716	-1.0263111135942313	0.051599688345148595	2.533786905998621e-89	5.593334594991956e-85
ENSG00000261312	116.83087623894134	3.483226092287352	0.17478939546315542	4.6977737991813e-89	1.037033566169272e-84
ENSG00000236498	170.92593718984884	2.652665325274474	0.13353217695710604	7.821391744536376e-89	1.7265722276064049e-84
COMMD4	1529.0692366369906	-1.1046120719821342	0.0557365073613397	8.883869201370256e-89	1.9611141262024841e-84
ENSG00000286458	462.6732082900371	2.119313732930103	0.10776911596699502	2.746613819330197e-88	6.06315000617141e-84
ENSG00000261305	101.31500385884252	4.627116059872138	0.2345084353471621	6.054434055246365e-88	1.336516317695635e-83
TNS2-AS1	995.4553938737935	2.104256362250633	0.10745280068054316	1.298514224438718e-87	2.86647015044847e-83
RPL10P16	237.2255144173915	2.175291633766278	0.11105592022558472	1.660190564471258e-87	3.664870671070302e-83
PNPLA6	1830.8975258451621	-1.05227755095961	0.053510663884916265	2.071741062931243e-87	4.573368396420719e-83
NUDT16L1	867.7702282788466	-1.3061344028422428	0.06665772069196226	4.577049379436665e-87	1.0103836505106438e-82
NDUFB7	992.8757600405556	-1.133132012784452	0.05791241457861318	1.2176576463269816e-86	2.6879792542668115e-82
TRMT61A	587.6706588760352	-2.1005888284770156	0.10798273721869017	1.6303675285590437e-86	3.599036319294089e-82
FBXW5	954.2728648971495	-1.2573434479817833	0.06447805808622184	3.342394480146829e-86	7.378335814924125e-82
LRRC8A	5658.995898652139	-1.0297790130561821	0.05325351639366582	1.3156610131715308e-84	2.9043216865761544e-80
EMC10	3183.495060774994	-1.0173776923720301	0.05263592760927386	1.6038279186208643e-84	3.540450130355558e-80
HGH1	977.9411947361638	-1.7699624908371314	0.09228352246356111	2.376558970322707e-84	5.246253926987375e-80
ARL6IP1	710.1167931565923	-1.3795725770616416	0.07187753457243207	8.698651536605235e-84	1.9202273267056055e-79
SF3B4	3728.5392586367743	-1.0113119628522127	0.05259635973951357	1.1417208319876452e-83	2.5203487366127268e-79
FOXP4	1113.983825700837	-1.2224007126601486	0.06367856071332909	1.325718463994333e-83	2.92652350926749e-79
SEMA6A-AS1	94.17423001451783	3.3299737477093174	0.17295396300972304	2.8982478300952815e-83	6.397882084935334e-79
DBN1	13818.12011661087	-1.1030707085720728	0.05757274447172207	3.472699155032765e-83	7.665983384734828e-79
MBOAT7	2223.6627621479306	-1.0950507630056057	0.05755451100981486	4.5265091015752805e-82	9.992268841727431e-78
A2MP1	230.14670806523856	1.9498510787605423	0.10352172556268761	1.5159223908535977e-81	3.346398677809317e-77
UBALD1	742.8216360712121	-1.387886292378268	0.07361051349929328	5.408614616020951e-81	1.1939516764866249e-76
CD320	1511.4978098956453	-1.0432669558635015	0.055483874961284575	3.485690004379993e-80	7.694660684668834e-76
PKMYT1	1095.6483453714936	-1.6854520020916774	0.09025757454606788	4.5612710437618646e-80	1.0069005829104316e-75
MRPS12	978.3435849864148	-1.4225891007013596	0.07595767744992475	5.040492733018309e-80	1.1126887708137917e-75
SLC35A4	2714.3275600953275	-1.1042704608063025	0.05883190266824041	5.722825531365343e-80	1.2633137360488994e-75
DOHH	436.6700862347573	-2.084784088997342	0.11197107883436448	1.2575641361264245e-79	2.776072830499082e-75
NCDN	1903.9548963166935	-1.9041684448410425	0.10256617032985202	2.3102357188804818e-79	5.099845349428664e-75
FASN	34620.445894422395	-1.765966762584531	0.0952424799609314	4.176128889015883e-79	9.21880452250256e-75
PLTP	3534.450502574393	-1.1213372447166825	0.06032333715274617	1.6448051314926759e-78	3.630907327770082e-74
JUP	4483.200970498521	-1.0683828838442337	0.05759742230543189	3.836156363507785e-78	8.468315172443437e-74
RSL1D1-DT	128.1307498918301	2.567343954188776	0.13867574612337283	1.0747488055764517e-77	2.3725079883100172e-73
NOL6	2639.3777632169604	-1.1405277101633444	0.06186257861115399	2.6733790658887972e-77	5.90148428794952e-73
FAAP100	952.2881502281047	-1.3385596136087705	0.07280220782878688	4.0416083981792705e-77	8.92185053898074e-73
ARHGDIA	5012.988433410926	-1.1866901069795985	0.06448000624894656	4.4168088176616404e-77	9.750105464988071e-73
SPATA21	120.11171072236459	2.8062248996816677	0.15210156357756857	7.82004370598636e-77	1.726274648096489e-72
MIIP	777.5179364892882	-1.279726862095227	0.07015437478661339	6.918101861717189e-76	1.5271709859740694e-71
BOP1	2725.0709191850124	-1.2749591610082103	0.06994148886564533	8.836267692406792e-76	1.950606093098799e-71
LRP3	1005.3321642312434	-1.0997942608196387	0.060294037275838284	1.0670134313462193e-75	2.355432149696779e-71
LRFN4	913.2636530615474	-1.401769354773328	0.07724222822999877	2.533631845935811e-75	5.5929922999033025e-71
ARMC6	2241.089477611315	-1.162321118705764	0.06392143508477957	2.6542331344908893e-75	5.859219644388638e-71
ENSG00000283480	79.31084690779636	4.028905731876218	0.22117769991685224	4.510976794271587e-75	9.957981273354529e-71
DPH2	2159.5030435247036	-1.0461241523686742	0.057672665558429606	7.617410223995465e-75	1.681543306946999e-70
ZDHHC16	1361.5354453584573	-1.0513738229174487	0.05807590162046588	1.4367257171280357e-74	3.171572020560139e-70
ATG10	756.9550183675178	1.2201818994621458	0.06771973894779501	4.700666269596586e-74	1.0376720790134465e-69
CNPY2-AS1	81.82188917862916	3.2993071597645973	0.18236572895902248	8.161402645907642e-74	1.801629634084112e-69
RPL41P1	2362.4822914155734	-1.3183309451092373	0.07336965590023706	8.78364698183895e-74	1.938990071240948e-69
TBL3	1768.8982154662892	-1.0436963297981157	0.058073586783284815	1.5769771564439717e-73	3.4811770728500676e-69
TMEM161A	623.3587221206172	-1.2390220378065793	0.06904891524276748	1.7038687576750288e-73	3.7612902825676263e-69
RNF7	674.9484284644077	-1.2807737566685804	0.07160732444059464	4.319819882707735e-73	9.536002391077326e-69
CRLF1	338.6962447010567	1.7937098696496132	0.1010518617262973	7.113634806997488e-73	1.5703348836446954e-68
ZDHHC12	472.33499408333176	-1.4314814539489207	0.08031387583801083	7.775688082297536e-73	1.716483144167181e-68
SLC5A6	4537.16220873307	-1.0977073382078932	0.06163929645538101	2.63785632102502e-72	5.823067828662732e-68
