gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000269968	1162.2085376939988	7.225551407341857	0.145470101756435	0	0
SNX32	374.5022249739724	4.287809699409885	0.12219879307273455	8.79527546223403e-271	1.941557058288162e-266
ENSG00000265749	398.9169251460143	5.747362281137076	0.1648340324333986	4.0692804780057365e-268	8.982936655197663e-264
ENSG00000264577	390.38863231897795	5.276085291501236	0.15781445808247418	1.3154616776270523e-246	2.9038816533617177e-242
ENSG00000258017	905.0451449335725	3.7352239021579874	0.1153560623792623	8.509387862782672e-231	1.878447370709275e-226
TRABD2A	800.1514532800094	2.6126950334021104	0.08335097766414229	9.90642297010369e-217	2.1868428706503894e-212
ENSG00000272540	403.6222686195359	4.895264473065109	0.16753450931889227	4.731648432365091e-189	1.0445113914445938e-184
ENSG00000265496	454.0710250592812	3.037418286561816	0.1044652918486827	1.7050430074882567e-186	3.763882439030327e-182
ENSG00000265401	254.38045979208124	5.64190728718682	0.20299173181189645	9.990890523612667e-172	2.205489083087496e-167
BEST1	439.11991713103373	4.4711785661057055	0.16228220074914293	2.9771534293871936e-168	6.57206619537223e-164
ENSG00000258232	179.85074193095343	4.357803247277264	0.15836869818375954	8.94026818471168e-168	1.9735642017751034e-163
DIPK1A	799.7834756446695	2.829754545143252	0.10499100737227615	9.65179815261216e-161	2.1306344421891346e-156
ENSG00000279605	184.6581137992228	5.736837274792105	0.21666903248799316	3.122669513633753e-156	6.8932929513465094e-152
LSR	4531.602372627942	-1.267594134813829	0.04797776996477173	4.036528128902197e-155	8.910635844551599e-151
CTXN1	1106.3175993724226	-2.93813150042633	0.11255714706379567	7.131723099085878e-151	1.5743278741232077e-146
MFSD10	1358.038448479414	-1.9370234600609704	0.07484276198316764	1.4394309051759385e-150	3.1775437231758844e-146
RPL30-AS1	153.6451925764472	4.204166602865326	0.16152838778618728	2.3437287984716304e-150	5.173781322626124e-146
ENSG00000273149	1081.238707159574	2.2905261787116773	0.08844745223552747	6.930130307325476e-150	1.5298262653420989e-145
ENSG00000262560	210.2417325858207	5.027167983369616	0.19402016170293981	1.8721185032337405e-149	4.1327015958884825e-145
G6PC3	2559.957944436803	-1.2737384144088988	0.050550044924831006	2.097362304168479e-141	4.629927286451917e-137
SLC25A22	1308.2973487457552	-1.6803805914239445	0.0678154364921348	5.09842088124303e-138	1.125476409534399e-133
CHPF	1582.4749756838007	-1.9799419874005326	0.08021253946102744	2.2862246740121267e-137	5.04684096788177e-133
NCLN	3732.1406230104726	-1.4926688547423226	0.060544101071063325	4.550985877773299e-136	1.0046301325184557e-131
MVP-DT	246.10039948943935	3.03549016682699	0.1260335180280674	8.306767152249217e-129	1.8337188488590145e-124
ATP5F1D	1164.1859362891873	-1.7888459621500885	0.075360365488401	2.673019160216461e-127	5.900689796177837e-123
CAPN15	1960.1370419645054	-1.7602734968912435	0.07504046380738703	2.2798743419260527e-124	5.032822609801761e-120
GPS2	331.27673363360384	3.0638741917338153	0.131521216138968	1.1396521040719167e-120	2.515782019738756e-116
VWA1	1030.366327904693	-1.7725316023739102	0.07756913830884933	2.783373492265081e-118	6.1442969841751665e-114
SLC29A1	6946.859310540149	-1.0652001702769813	0.046323344761758124	4.368446572057756e-118	9.643345807817496e-114
HSPBP1	1510.132492144313	-1.3479651183996835	0.05964180479460166	1.464244346246985e-114	3.232319394340219e-110
ENSG00000225721	125.5627408624161	4.377753391076005	0.19882658547410775	1.5265653091994274e-108	3.369892920057736e-104
ENSG00000244380	171.46395841568958	3.4072217621085414	0.15551112256013636	4.466880280531502e-107	9.860638219273292e-103
PIN4	1053.4472919532386	1.6200723579317047	0.07499363654963549	8.861621347909083e-106	1.95620291255093e-101
NOC4L	1005.631399404012	-1.5234435861338804	0.07065864778880095	4.592157483944705e-105	1.0137187645807937e-100
ENSG00000280195	147.5440821931055	5.650092852095333	0.26460796910983003	7.013266711091024e-103	1.5481786264733435e-98
TELO2	1695.184162141216	-2.152334477451368	0.10127513071635369	1.035809353384441e-102	2.2865491475961535e-98
IFRD2	1950.931552892265	-1.3580453148602467	0.0636985320426417	2.4217432900453783e-102	5.3459983127751725e-98
SCRIB	2602.6277596623722	-1.3468886296035556	0.06327949269822121	5.442856592408663e-102	1.2015105927742123e-97
APRT	2884.499134367155	-1.2158712585917104	0.057475949764142914	1.504743779471846e-100	3.3217218931840998e-96
SIVA1	1256.0093285880903	-1.4691268149569614	0.0700465257346502	1.8502923177665524e-99	4.084520291469664e-95
ATP13A2	2460.338316302386	-1.1615671483854375	0.05524934061485168	2.741573949036312e-99	6.052024492497659e-95
ATP13A1	1902.1198203860283	-1.3984715903234377	0.06690251899382355	1.2928604510406269e-98	2.853989445672184e-94
SRM	4139.147278058016	-1.2893056925549418	0.06195265682910646	1.5637834102715736e-97	3.4520518781744987e-93
COX6A1	2133.813174814523	-1.360125685756436	0.06554450813893865	3.850739454856384e-97	8.500507346595468e-93
ATP6V0B	1625.5789197475435	-1.3949020592334265	0.06732705615637731	6.237432972428605e-97	1.3769133286636144e-92
SLC12A9	939.9464598179685	-1.7390069837825042	0.08489155975064548	6.926878220129139e-96	1.5291083670935074e-91
TCF19	1432.9492011842456	1.3715630258796732	0.06668261914989496	1.5855258166563566e-95	3.500048240268907e-91
RPUSD1	703.9073453913685	-2.0768768846919707	0.10176787919097104	2.9952296185560352e-95	6.611969382962447e-91
IQCG	595.0564869842295	1.6480829319134707	0.0806923208313653	4.357388889799404e-95	9.618935974232184e-91
NKIRAS1	723.5905906437976	1.8736734172690963	0.09202431866539378	5.3420472424681886e-95	1.1792569287748527e-90
PCBP1-AS1	605.2156810852424	1.7600567688122266	0.08655747886898477	1.3615808876340773e-94	3.0056898094522255e-90
PPDPF	1697.6935117879284	-2.1944780766192005	0.10775292902496957	1.4891635413367332e-94	3.2873285175008386e-90
E2F4	1978.7100354741658	-1.083027517459787	0.05286109570395151	2.2141858194270475e-94	4.887815196385207e-90
EIF6	2421.4742568118163	-1.1605915023242879	0.05669257117380509	2.6757038442371354e-94	5.906616236153477e-90
PGAP6	2262.9728636162067	-1.5110553077161932	0.07417390414067532	3.556281654092205e-94	7.850491751408543e-90
MED16	1892.0502757979075	-1.3635792756490337	0.06682013608432896	4.597978000417368e-94	1.015003643592134e-89
PCNX3	1540.1184437420648	-1.657980007804179	0.08186293774529757	1.3316499541717243e-93	2.9396172738340814e-89
TMEM259	1737.1866755581586	-1.4846389678510372	0.07349169078831048	1.3764094092747702e-92	3.038423770974055e-88
CYP2S1	7854.9606571878385	-1.0486012745395803	0.05170246592732307	1.590953103388603e-92	3.5120289757303414e-88
ENSG00000247853	201.56744369244583	2.5039277897046226	0.12420375130931907	9.528968741147106e-92	2.1035198496082235e-87
FAAP20	1047.7270922900232	-1.4372010013498562	0.07202997443894288	2.845435619493162e-90	6.2812991300311554e-86
SLC52A2	1056.4970893470888	-1.748417457582103	0.08819500465930825	4.137662777451264e-90	9.133890581223667e-86
