gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
PIN4	1053.4472919532386	1.4003981219136272	0.06466196586863143	4.583159397677737e-106	9.890457980188555e-102
WDR18	1544.8580080683219	-1.3746312433040089	0.0645388191097626	1.134979424448308e-102	2.4492855979594485e-98
FAAP20	1047.7270922900232	-1.2419125837400489	0.058335322945630416	2.2981693824940903e-102	4.959449527422247e-98
NOC4L	1005.631399404012	-1.184121723940588	0.055715123786248634	5.816473311695706e-102	1.2551949406639333e-97
SLC12A9	939.9464598179685	-1.4303227898575546	0.06780880666229089	7.049994722087235e-101	1.5213888610264253e-96
IQCG	595.0564869842295	1.4719237235932217	0.06985637838481025	9.480112398492705e-101	2.045808255594726e-96
HMGA1P4	132.7861037604705	3.8404256996528456	0.18180331432808844	7.731691116615164e-100	1.6684989429655523e-95
NKIRAS1	723.5905906437976	1.6547743336730132	0.07936965936658505	5.24793554431265e-99	1.1325044904626698e-94
SIVA1	1256.0093285880903	-1.1811955609529632	0.05653061144449833	1.1335742162100255e-98	2.446253158581235e-94
PKMYT1	1095.6483453714936	-1.879628691472987	0.09079749691113927	1.2998868295242354e-97	2.8051557781133002e-93
NDUFS7	771.2369209397472	-1.3518998651706988	0.06521480838586936	2.0105234326666693e-97	4.338709567694673e-93
RPL22	2868.6796083201557	-1.112753824171199	0.053809315727753076	1.1733450779865507e-96	2.5320786782949763e-92
NCLN	3732.1406230104726	-1.0218460361895758	0.05000882319340744	2.2876687633994767e-94	4.9367891914160705e-90
SLC52A2	1056.4970893470888	-1.4447652303836969	0.07127396434856673	1.691546705219068e-93	3.650357789862749e-89
ENSG00000254662	320.14621183947725	2.3911412885415975	0.11768159641557166	6.293876316999093e-93	1.3582185092084042e-88
MIF-AS1	98.77594138838688	4.415578105318397	0.21719896911758751	6.4320135404776715e-93	1.3880285220350816e-88
ENSG00000289809	457.3061364127088	5.476842688775074	0.2713994986043915	4.8546166850084514e-92	1.0476262806248238e-87
VWA1	1030.366327904693	-1.2003506750560629	0.059684799557418164	1.0548732042657033e-91	2.276416374805388e-87
MED16	1892.0502757979075	-1.107927135580943	0.05509441643767591	1.36054425622106e-91	2.9360545049250475e-87
NUBP2	1187.4695297523456	-1.1197260725956455	0.0560376313508055	1.733819538297126e-90	3.741582563645198e-86
KIF26A	2916.093900202734	-1.7766005791764052	0.0896036104462567	5.391646773691337e-90	1.1635173737625906e-85
ENSG00000236498	170.92593718984884	2.651241826174192	0.13271099984827037	1.613570756548715e-89	3.482085692632127e-85
SLC25A1	4569.188211466653	-1.211907050407962	0.06147581265393065	2.876781355573395e-88	6.208094165327386e-84
SEMA6A-AS1	94.17423001451783	3.3962029322274043	0.17162546208138801	8.856954079488181e-88	1.9113306903535496e-83
UQCRHL	251.64204517246978	2.278886648919649	0.11581163785059678	1.2735280675512787e-87	2.7482735697756593e-83
TMEM161A	623.3587221206172	-1.3568147411544214	0.06920378770772392	1.4489346261634773e-87	3.126800923260784e-83
KLF16	1487.4691402886563	-1.4720434329641297	0.07533394299946784	3.2022604387784537e-87	6.910478026883903e-83
FAM171A2	638.3450246226649	-1.353048974035132	0.06937111500338622	1.0776715371141131e-86	2.3256151770922562e-82
SCRIB	2602.6277596623722	-1.0215008926645717	0.052343991565415575	2.207929663797457e-86	4.7647122144749124e-82
ENSG00000267062	93.26853906917903	5.447960136356671	0.2790510443256679	2.363548144394702e-86	5.1005368956037667e-82
PCBP1-AS1	605.2156810852424	1.4473926390042384	0.07515638569289394	8.570289401685358e-85	1.8494684528837003e-80
ENSG00000287299	93.0899853871695	4.236892518632015	0.2190826488117325	2.7467343602943095e-84	5.92745274951512e-80
ENSG00000286458	462.6732082900371	2.0619736311958667	0.10763346718564698	7.990556790259712e-84	1.724362155338046e-79
A2MP1	230.14670806523856	1.9621517578915946	0.10272835499179422	1.3664956803828286e-83	2.948897678266144e-79
YIF1A	1130.94797994752	-1.2302848757870195	0.06424287008058682	1.5819808827700876e-83	3.413914745017849e-79
PGAP6	2262.9728636162067	-1.1734219574310665	0.06138645648031549	3.6199153994486064e-83	7.811777432010092e-79
SPATA21	120.11171072236459	2.8950681190930383	0.1504334035150588	4.098989826494884e-83	8.84562004557596e-79
TM7SF2	1058.16883117891	-1.6840288436257784	0.0885886948703407	4.59069875098807e-83	9.906727904632254e-79
DYNC2I2	1060.267565023926	-1.2872487822942513	0.06754902868708494	7.971827282707959e-83	1.7203203276083776e-78
ATP6V0B	1625.5789197475435	-1.0383839833459863	0.054728615039150844	7.360278075162788e-82	1.5883480086201297e-77
RAB13	435.4884703534737	-1.7336594548844246	0.09212911229747446	1.675027232261603e-81	3.614708767220539e-77
MIIP	777.5179364892882	-1.3155821638475529	0.06965497147313418	1.8031110253807144e-81	3.8911135927715815e-77
ENSG00000279827	193.0582386795396	2.530269720795861	0.13316858259464684	2.166822915987168e-81	4.676003852700308e-77
ATP13A1	1902.1198203860283	-1.0350682091331906	0.05473579926505668	2.4572443873726597e-81	5.3027333879502e-77
ZNF358	722.7738654393042	-1.3399293945747632	0.07108765560063104	3.3773203399862044e-81	7.28825729369023e-77
